company name,industry33,stock market,stock number
前田建設工業,建設業,東証1部,1824
佐田建設,建設業,東証スタンダード,1826
ナカノフドー建設,建設業,東証スタンダード,1827
田辺工業,建設業,東証スタンダード,1828
北海電気工事,建設業,札証普通,1832
奥村組,建設業,東証プライム,1833
大和小田急建設,建設業,東証1部,1834
東鉄工業,建設業,東証プライム,1835
真柄建設,建設業,東証1部,1839
土屋ホールディングス,建設業,東証スタンダード,1840
サンユー建設,建設業,東証スタンダード,1841
大盛工業,建設業,東証スタンダード,1844
鈴縫工業,建設業,東証2部,1846
イチケン,建設業,東証プライム,1847
富士ピー・エス,建設業,東証スタンダード,1848
南海辰村建設,建設業,東証スタンダード,1850
淺沼組,建設業,東証プライム,1852
森組,建設業,東証スタンダード,1853
新井組,建設業,東証1部,1854
井上工業,建設業,東証2部,1858
戸田建設,建設業,東証プライム,1860
熊谷組,建設業,東証プライム,1861
横河工事,建設業,東証2部,1862
青木あすなろ建設,建設業,東証1部,1865
北野建設,建設業,東証スタンダード,1866
植木組,建設業,東証スタンダード,1867
三井ホーム,建設業,東証1部,1868
名工建設,建設業,名証メイン,1869
矢作建設工業,建設業,東証プライム,1870
ピーエス三菱,建設業,東証プライム,1871
日本ハウスホールディングス,建設業,東証プライム,1873
青木マリーン,建設業,東証2部,1875
新日本建設,建設業,東証プライム,1879
スルガコーポレーション,建設業,東証2部,1880
ＮＩＰＰＯ,建設業,東証1部,1881
東亜道路工業,建設業,東証プライム,1882
前田道路,建設業,東証1部,1883
日本道路,建設業,東証プライム,1884
東亜建設工業,建設業,東証プライム,1885
日本国土開発,建設業,東証プライム,1887
若築建設,建設業,東証プライム,1888
あおみ建設,建設業,東証1部,1889
東洋建設,建設業,東証プライム,1890
徳倉建設,建設業,名証メイン,1892
五洋建設,建設業,東証プライム,1893
大成ロテック,建設業,東証1部,1895
大林道路,建設業,東証1部,1896
金下建設,建設業,東証スタンダード,1897
世紀東急工業,建設業,東証プライム,1898
福田組,建設業,東証プライム,1899
白石,建設業,東証2部,1900
山崎建設,建設業,ジ証,1902
大成温調,建設業,東証スタンダード,1904
テノックス,建設業,東証スタンダード,1905
細田工務店,建設業,東証JASDAQ（スタンダード）,1906
東北ミサワホーム,建設業,東証1部,1907
三平建設,建設業,ジ証,1908
住友林業,建設業,東証プライム,1911
旭ホームズ,建設業,ジ証,1913
日本基礎技術,建設業,東証スタンダード,1914
日成ビルド工業,建設業,東証1部,1916
ヤマダ・エスバイエルホーム,建設業,東証1部,1919
巴コーポレーション,建設業,東証スタンダード,1921
パナホーム,建設業,東証1部,1924
大和ハウス工業,建設業,東証プライム,1925
ライト工業,建設業,東証プライム,1926
積水ハウス,建設業,東証プライム,1928
日特建設,建設業,東証プライム,1929
北陸電気工事,建設業,東証プライム,1930
日本電通,建設業,東証2部,1931
コミューチュア,建設業,東証1部,1932
ＳＹＳＫＥＮ,建設業,東証2部,1933
ユアテック,建設業,東証プライム,1934
ＴＴＫ,建設業,東証2部,1935
シーキューブ,建設業,名証1部,1936
西部電気工業,建設業,東証1部,1937
日本リーテック,建設業,東証プライム,1938
四電工,建設業,東証プライム,1939
つうけん,建設業,東証2部,1940
中電工,建設業,東証プライム,1941
関電工,建設業,東証プライム,1942
大明,建設業,東証1部,1943
きんでん,建設業,東証プライム,1944
東京エネシス,建設業,東証プライム,1945
トーエネック,建設業,東証プライム,1946
弘電社,建設業,東証スタンダード,1948
住友電設,建設業,東証プライム,1949
日本電設工業,建設業,東証プライム,1950
エクシオグループ,建設業,東証プライム,1951
新日本空調,建設業,東証プライム,1952
東電通,建設業,東証1部,1955
ＮＤＳ,建設業,東証1部,1956
保安工業,建設業,東証2部,1957
九電工,建設業,東証プライム,1959
サンテック,建設業,東証スタンダード,1960
三機工業,建設業,東証プライム,1961
日揮ホールディングス,建設業,東証プライム,1963
中外炉工業,建設業,東証プライム,1964
テクノ菱和,建設業,東証スタンダード,1965
高田工業所,建設業,東証スタンダード,1966
ヤマト,建設業,東証スタンダード,1967
太平電業,建設業,東証プライム,1968
高砂熱学工業,建設業,東証プライム,1969
日立プラントテクノロジー,建設業,東証1部,1970
三晃金属工業,建設業,東証スタンダード,1972
朝日工業社,建設業,東証プライム,1975
明星工業,建設業,東証プライム,1976
大氣社,建設業,東証プライム,1979
ダイダン,建設業,東証プライム,1980
協和日成,建設業,東証スタンダード,1981
日比谷総合設備,建設業,東証プライム,1982
東芝プラントシステム,建設業,東証1部,1983
三信建設工業,建設業,東証JASDAQ（スタンダード）,1984
大和電設工業,建設業,ジ証,1985
日商インターライフ,建設業,ジ証,1986
ソルコム,建設業,東証2部,1987
ショーボンド建設,建設業,東証1部,1988
北陸電話工事,建設業,東証2部,1989
東邦建,建設業,ジ証,1990
神田通信機,建設業,東証スタンダード,1992
高橋カーテンウォール工業,建設業,東証スタンダード,1994
ＡＳ－ＳＺＫｉ,建設業,ジ証,1995
暁飯島工業,建設業,東証スタンダード,1997
日本土建,建設業,ジ証,1998
サイタホールディングス,建設業,福証普通,1999
塩見ホールディングス,建設業,大証,2414
フィル・カンパニー,建設業,東証プライム,3267
テスコ,建設業,ジ証,4226
ドラフト,建設業,東証グロース,5070
ヴィス,建設業,東証スタンダード,5071
テスホールディングス,建設業,東証プライム,5074
アップコン,建設業,名証ネクスト,5075
セレコーポレーション,建設業,東証スタンダード,5078
ノバック,建設業,東証スタンダード,5079
ＯＳＪＢホールディングス,建設業,東証1部,5912
東洋エンジニアリング,建設業,東証プライム,6330
千代田化工建設,建設業,東証スタンダード,6366
レイズネクスト,建設業,東証プライム,6379
技研興業,建設業,東証2部,9764
ニップン,食料品,東証プライム,2001
日清製粉グループ本社,食料品,東証プライム,2002
日東富士製粉,食料品,東証スタンダード,2003
昭和産業,食料品,東証プライム,2004
東福製粉,食料品,福証普通,2006
増田製粉所,食料品,東証2部,2008
鳥越製粉,食料品,東証スタンダード,2009
日本農産工業,食料品,東証1部,2051
協同飼料,食料品,東証1部,2052
中部飼料,食料品,東証プライム,2053
日和産業,食料品,東証スタンダード,2055
日本配合飼料,食料品,東証1部,2056
雪印種苗,食料品,東証2部,2057
ヒガシマル,食料品,福証普通,2058
ユニ・チャーム　ペットケア,食料品,東証1部,2059
フィード・ワン,食料品,東証プライム,2060
東洋精糖,食料品,東証スタンダード,2107
日本甜菜製糖,食料品,東証プライム,2108
ＤＭ三井製糖ホールディングス,食料品,東証プライム,2109
塩水港精糖,食料品,東証スタンダード,2112
新光製糖,食料品,ジ証,2113
フジ日本精糖,食料品,東証スタンダード,2114
日新製糖,食料品,東証2部,2116
ウェルネオシュガー,食料品,東証プライム,2117
森永製菓,食料品,東証プライム,2201
明治製菓,食料品,東証1部,2202
中村屋,食料品,東証プライム,2204
江崎グリコ,食料品,東証プライム,2206
名糖産業,食料品,東証プライム,2207
ブルボン,食料品,東証スタンダード,2208
井村屋グループ,食料品,東証プライム,2209
不二家,食料品,東証プライム,2211
山崎製パン,食料品,東証プライム,2212
第一屋製パン,食料品,東証スタンダード,2215
カンロ,食料品,東証スタンダード,2216
モロゾフ,食料品,東証プライム,2217
日糧製パン,食料品,札証普通,2218
亀田製菓,食料品,東証プライム,2220
岩塚製菓,食料品,東証スタンダード,2221
寿スピリッツ,食料品,東証プライム,2222
コモ,食料品,東証スタンダード,2224
湖池屋,食料品,東証スタンダード,2226
三星食品,食料品,へ証,2227
シベール,食料品,東証JASDAQ（スタンダード）,2228
カルビー,食料品,東証プライム,2229
明治乳業,食料品,東証1部,2261
雪印乳業,食料品,東証1部,2262
森永乳業,食料品,東証プライム,2264
六甲バター,食料品,東証プライム,2266
ヤクルト本社,食料品,東証プライム,2267
Ｂ－Ｒ　サーティワンアイスクリーム,食料品,東証スタンダード,2268
明治ホールディングス,食料品,東証プライム,2269
雪印メグミルク,食料品,東証プライム,2270
プリマハム,食料品,東証プライム,2281
日本ハム,食料品,東証プライム,2282
伊藤ハム,食料品,東証1部,2284
林兼産業,食料品,東証スタンダード,2286
丸大食品,食料品,東証プライム,2288
相模ハム,食料品,ジ証,2289
米久,食料品,東証1部,2290
福留ハム,食料品,東証スタンダード,2291
Ｓ　Ｆｏｏｄｓ,食料品,東証プライム,2292
滝沢ハム,食料品,東証スタンダード,2293
柿安本店,食料品,東証プライム,2294
伊藤ハム米久ホールディングス,食料品,東証プライム,2296
サッポロホールディングス,食料品,東証プライム,2501
アサヒグループホールディングス,食料品,東証プライム,2502
キリンホールディングス,食料品,東証プライム,2503
宝ホールディングス,食料品,東証プライム,2531
オエノンホールディングス,食料品,東証プライム,2533
メルシャン,食料品,東証1部,2536
ジャパン・フード＆リカー・アライアンス,食料品,東証2部,2538
養命酒製造,食料品,東証プライム,2540
マルサンアイ,食料品,名証メイン,2551
三国コカ・コーラボトリング,食料品,東証1部,2572
北海道コカ・コーラボトリング,食料品,東証スタンダード,2573
四国コカ・コーラボトリング,食料品,東証1部,2578
コカ・コーラ　ボトラーズジャパンホールディングス,食料品,東証プライム,2579
コカ・コーライーストジャパン,食料品,東証1部,2580
ライフドリンク　カンパニー,食料品,東証スタンダード,2585
フルッタフルッタ,食料品,東証グロース,2586
サントリー食品インターナショナル,食料品,東証プライム,2587
プレミアムウォーターホールディングス,食料品,東証スタンダード,2588
ゴールドパック,食料品,ジ証,2589
ダイドーグループホールディングス,食料品,東証プライム,2590
カルピス,食料品,東証1部,2591
伊藤園,食料品,東証プライム,2593
キーコーヒー,食料品,東証プライム,2594
ユニカフェ,食料品,東証スタンダード,2597
アサヒ飲料,食料品,東証1部,2598
ジャパンフーズ,食料品,東証スタンダード,2599
日清オイリオグループ,食料品,東証プライム,2602
不二製油グループ本社,食料品,東証プライム,2607
ボーソー油脂,食料品,東証2部,2608
攝津製油,食料品,東証2部,2611
かどや製油,食料品,東証スタンダード,2612
Ｊ－オイルミルズ,食料品,東証プライム,2613
キッコーマン,食料品,東証プライム,2801
味の素,食料品,東証プライム,2802
ブルドックソース,食料品,東証プライム,2804
エスビー食品,食料品,東証スタンダード,2805
ユタカフーズ,食料品,東証スタンダード,2806
キユーピー,食料品,東証プライム,2809
ハウス食品グループ本社,食料品,東証プライム,2810
カゴメ,食料品,東証プライム,2811
焼津水産化学工業,食料品,東証スタンダード,2812
和弘食品,食料品,東証スタンダード,2813
佐藤食品工業,食料品,東証スタンダード,2814
アリアケジャパン,食料品,東証プライム,2815
ダイショー,食料品,東証スタンダード,2816
ギャバン,食料品,東証JASDAQ（スタンダード）,2817
ピエトロ,食料品,東証プライム,2818
エバラ食品工業,食料品,東証スタンダード,2819
やまみ,食料品,東証プライム,2820
アヲハタ,食料品,東証スタンダード,2830
はごろもフーズ,食料品,東証スタンダード,2831
ニチレイ,食料品,東証プライム,2871
セイヒョー,食料品,東証スタンダード,2872
加ト吉,食料品,東証1部,2873
東洋水産,食料品,東証プライム,2875
デルソーレ,食料品,東証スタンダード,2876
日東ベスト,食料品,東証スタンダード,2877
赤城水産,食料品,ジ証,2878
ニチロサンフーズ,食料品,ジ証,2879
ミホウジャパン,食料品,へ証,2880
ケイエス冷凍食品,食料品,名証2部,2881
イートアンドホールディングス,食料品,東証プライム,2882
大冷,食料品,東証スタンダード,2883
ヨシムラ・フード・ホールディングス,食料品,東証プライム,2884
オリエンタル酵母工業,食料品,東証2部,2891
日本食品化工,食料品,東証スタンダード,2892
ローマイヤ,食料品,東証2部,2893
石井食品,食料品,東証スタンダード,2894
日清食品ホールディングス,食料品,東証プライム,2897
ソントン食品工業,食料品,東証2部,2898
永谷園ホールディングス,食料品,東証プライム,2899
石垣食品,食料品,東証スタンダード,2901
太陽化学,食料品,名証メイン,2902
シノブフーズ,食料品,東証スタンダード,2903
一正蒲鉾,食料品,東証プライム,2904
オーケー食品工業,食料品,東証スタンダード,2905
ホッコク,食料品,ジ証,2906
あじかん,食料品,東証スタンダード,2907
フジッコ,食料品,東証プライム,2908
トオカツフーズ,食料品,ジ証,2909
ロック・フィールド,食料品,東証プライム,2910
旭松食品,食料品,東証スタンダード,2911
鐘崎,食料品,ジ証,2912
フジフーズ,食料品,ジ証,2913
ＪＴ,食料品,東証プライム,2914
ケンコーマヨネーズ,食料品,東証プライム,2915
仙波糖化工業,食料品,東証スタンダード,2916
大森屋,食料品,東証スタンダード,2917
わらべや日洋ホールディングス,食料品,東証プライム,2918
マルタイ,食料品,福証普通,2919
フクシマフーズ,食料品,ジ証,2921
なとり,食料品,東証プライム,2922
サトウ食品,食料品,東証スタンダード,2923
イフジ産業,食料品,東証スタンダード,2924
ピックルスコーポレーション,食料品,東証プライム,2925
篠崎屋,食料品,東証スタンダード,2926
ＡＦＣ－ＨＤアムスライフサイエンス,食料品,東証スタンダード,2927
ファーマフーズ,食料品,東証プライム,2929
ユーグレナ,食料品,東証プライム,2931
ＳＴＩフードホールディングス,食料品,東証スタンダード,2932
紀文食品,食料品,東証プライム,2933
ジェイフロンティア,食料品,東証グロース,2934
ピックルスホールディングス,食料品,東証プライム,2935
ベースフード,食料品,東証グロース,2936
サンクゼール,食料品,東証グロース,2937
紀文フードケミファ,食料品,東証1部,4065
ミヨシ油脂,食料品,東証スタンダード,4404
理研ビタミン,食料品,東証プライム,4526
片倉工業,繊維製品,東証スタンダード,3001
グンゼ,繊維製品,東証プライム,3002
川島織物セルコン,繊維製品,東証1部,3009
東洋紡,繊維製品,東証プライム,3101
ユニチカ,繊維製品,東証プライム,3103
富士紡ホールディングス,繊維製品,東証プライム,3104
クラボウ,繊維製品,東証プライム,3106
シキボウ,繊維製品,東証プライム,3109
オーミケンシ,繊維製品,東証スタンダード,3111
プロジェ・ホールディングス,繊維製品,大証,3114
興和紡績,繊維製品,大証,3117
サイボー,繊維製品,東証スタンダード,3123
新内外綿,繊維製品,東証2部,3125
日本毛織,繊維製品,東証プライム,3201
ダイトウボウ,繊維製品,東証スタンダード,3202
トーア紡コーポレーション,繊維製品,東証スタンダード,3204
ダイドーリミテッド,繊維製品,東証スタンダード,3205
御幸ホールディングス,繊維製品,東証1部,3216
帝国繊維,繊維製品,東証プライム,3302
トスコ,繊維製品,東証2部,3304
帝人,繊維製品,東証プライム,3401
東レ,繊維製品,東証プライム,3402
三菱レイヨン,繊維製品,東証1部,3404
サカイオーベックス,繊維製品,東証1部,3408
北日本紡績,繊維製品,東証スタンダード,3409
オートリ,繊維製品,大証,3411
住江織物,繊維製品,東証プライム,3501
東和織物,繊維製品,大証,3503
丸八ホールディングス,繊維製品,名証メイン,3504
日本フエルト,繊維製品,東証スタンダード,3512
イチカワ,繊維製品,東証スタンダード,3513
日本バイリーン,繊維製品,東証1部,3514
フジコー,繊維製品,東証JASDAQ（スタンダード）,3515
日東製網,繊維製品,東証スタンダード,3524
アツギ,繊維製品,東証プライム,3529
ＮＢＣメッシュテック,繊維製品,東証2部,3534
ダイニック,繊維製品,東証スタンダード,3551
東洋クロス,繊維製品,大証,3552
セーレン,繊維製品,東証プライム,3569
ソトー,繊維製品,東証スタンダード,3571
東海染工,繊維製品,東証スタンダード,3577
倉庫精練,繊維製品,東証スタンダード,3578
小松マテーレ,繊維製品,東証プライム,3580
オーベクス,繊維製品,東証スタンダード,3583
丸山工業,繊維製品,ジ証,3588
ワコールホールディングス,繊維製品,東証プライム,3591
ＣＨＯＹＡ,繊維製品,ジ証,3592
ホギメディカル,繊維製品,東証プライム,3593
モリシタ,繊維製品,ジ証,3594
自重堂,繊維製品,東証スタンダード,3597
山喜,繊維製品,東証スタンダード,3598
コーコス信岡,繊維製品,東証JASDAQ（スタンダード）,3599
フジックス,繊維製品,東証スタンダード,3600
川本産業,繊維製品,東証スタンダード,3604
サンエー・インターナショナル,繊維製品,東証1部,3605
レナウン,繊維製品,東証1部,3606
クラウディアホールディングス,繊維製品,東証スタンダード,3607
ＴＳＩホールディングス,繊維製品,東証プライム,3608
マツオカコーポレーション,繊維製品,東証プライム,3611
ワールド,繊維製品,東証プライム,3612
三陽商会,繊維製品,東証プライム,8011
ナイガイ,繊維製品,東証スタンダード,8013
オンワードホールディングス,繊維製品,東証プライム,8016
市田,繊維製品,東証1部,8019
シルバーオックス,繊維製品,東証1部,8024
ルシアン,繊維製品,大証,8027
ルックホールディングス,繊維製品,東証スタンダード,8029
東京ソワール,繊維製品,東証スタンダード,8040
トミヤアパレル,繊維製品,大証,8067
キムラタン,繊維製品,東証スタンダード,8107
ゴールドウイン,繊維製品,東証プライム,8111
東京スタイル,繊維製品,東証1部,8112
デサント,繊維製品,東証プライム,8114
キング,繊維製品,東証スタンダード,8118
ヤマトインターナショナル,繊維製品,東証スタンダード,8127
エフワン,繊維製品,大証,8128
ラピーヌ,繊維製品,東証スタンダード,8143
小杉産業,繊維製品,東証2部,8146
特種東海製紙,パルプ・紙,東証プライム,2930
王子ホールディングス,パルプ・紙,東証プライム,3128
日本製紙,パルプ・紙,東証プライム,3405
三菱製紙,パルプ・紙,東証プライム,3407
北越コーポレーション,パルプ・紙,東証プライム,3553
三島製紙,パルプ・紙,東証2部,3971
中越パルプ工業,パルプ・紙,東証プライム,4003
巴川製紙所,パルプ・紙,東証スタンダード,4004
大王製紙,パルプ・紙,東証プライム,4005
紀州製紙,パルプ・紙,東証1部,4007
ゼネラル,パルプ・紙,大証,4008
ニッポン高度紙工業,パルプ・紙,東証スタンダード,4021
岡山製紙,パルプ・紙,東証スタンダード,4022
日本製紙グループ本社,パルプ・紙,東証1部,4023
ハビックス,パルプ・紙,東証スタンダード,4025
阿波製紙,パルプ・紙,東証スタンダード,4027
レンゴー,パルプ・紙,東証プライム,4028
大石産業,パルプ・紙,東証スタンダード,4031
古林紙工,パルプ・紙,東証スタンダード,4033
スーパーバッグ,パルプ・紙,東証スタンダード,4041
トーモク,パルプ・紙,東証プライム,4042
ダイナパック,パルプ・紙,東証スタンダード,4043
光ビジネスフォーム,パルプ・紙,東証スタンダード,4044
ザ・パック,パルプ・紙,東証プライム,4045
朝日印刷,パルプ・紙,東証スタンダード,4046
中央紙器工業,パルプ・紙,名証メイン,4047
大村紙業,パルプ・紙,東証スタンダード,4061
昭和パックス,パルプ・紙,東証スタンダード,4063
イムラ,パルプ・紙,東証スタンダード,4064
国際チャート,パルプ・紙,東証JASDAQ（スタンダード）,4078
北の達人コーポレーション,化学,東証プライム,4080
寺田紡績,化学,大証,4082
クラレ,化学,東証プライム,4088
旭化成,化学,東証プライム,4091
共和レザー,化学,東証スタンダード,4092
東セロ,化学,東証2部,4093
コープケミカル,化学,東証1部,4094
レゾナック・ホールディングス,化学,東証プライム,4095
住友化学,化学,東証プライム,4096
日本化成,化学,東証1部,4097
住友精化,化学,東証プライム,4098
日産化学,化学,東証プライム,4099
ラサ工業,化学,東証プライム,4100
クレハ,化学,東証プライム,4102
多木化学,化学,東証プライム,4105
テイカ,化学,東証プライム,4106
石原産業,化学,東証プライム,4107
片倉コープアグリ,化学,東証スタンダード,4109
日東エフシー,化学,東証1部,4112
日本曹達,化学,東証プライム,4113
東ソー,化学,東証プライム,4114
トクヤマ,化学,東証プライム,4115
セントラル硝子,化学,東証プライム,4116
東亞合成,化学,東証プライム,4117
大阪ソーダ,化学,東証プライム,4118
関東電化工業,化学,東証プライム,4119
デンカ,化学,東証プライム,4120
信越化学工業,化学,東証プライム,4124
日本カーバイド工業,化学,東証プライム,4125
堺化学工業,化学,東証プライム,4182
田中化学研究所,化学,東証スタンダード,4183
第一稀元素化学工業,化学,東証プライム,4185
エア・ウォーター,化学,東証プライム,4186
日本酸素ホールディングス,化学,東証プライム,4187
日本化学工業,化学,東証プライム,4188
東邦アセチレン,化学,東証プライム,4189
日本化学産業,化学,東証スタンダード,4201
日本パーカライジング,化学,東証プライム,4202
昭和炭酸,化学,東証2部,4203
高圧ガス工業,化学,東証プライム,4204
チタン工業,化学,東証プライム,4205
四国化成ホールディングス,化学,東証プライム,4206
戸田工業,化学,東証プライム,4208
丸尾カルシウム,化学,東証スタンダード,4212
メルテックス,化学,ジ証,4213
エヌ・イー　ケムキャット,化学,ジ証,4215
伊勢化学工業,化学,東証スタンダード,4216
ステラ　ケミファ,化学,東証プライム,4217
